Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20230124,Yasha,2994,Target pole dives,52937.74,NA,NA,640,94,0,109.86,303.697,301.439,302.568,302.568
20230124,Yasha,2994,Target pole dives,52938.33,NA,NA,590,101.6949153,0.59,109.86,314.987,316.116,316.116,315.7396667
20230124,Yasha,2994,Target pole dives,52938.96,NA,NA,630,95,1.22,109.86,287.892,291.279,293.537,290.9026667
20230124,Yasha,2994,Target pole dives,52939.6,NA,NA,640,94,1.86,109.86,307.084,307.084,308.213,307.4603333
20230124,Yasha,2994,Target pole dives,52940.26,NA,NA,660,91,2.52,109.86,338.696,330.229,335.309,334.7446667
20230124,Yasha,2994,Target pole dives,52940.73,follows signal (command) from a trainer,POINT,NA,NA,2.52,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52940.87,NA,NA,610,98,3.13,109.86,313.858,314.987,316.116,314.987
20230124,Yasha,2994,Target pole dives,52941.51,NA,NA,640,94,3.77,109.86,300.31,299.181,308.213,302.568
20230124,Yasha,2994,Target pole dives,52942.15,NA,NA,640,94,4.41,109.86,298.052,293.537,296.924,296.171
20230124,Yasha,2994,Target pole dives,52942.76,breath,POINT,NA,NA,4.41,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52942.79,NA,NA,640,94,5.05,109.86,336.438,336.438,337.567,336.8143333
20230124,Yasha,2994,Target pole dives,52943.47,NA,NA,680,88,5.73,109.86,328.535,330.793,330.793,330.0403333
20230124,Yasha,2994,Target pole dives,52944.13,NA,NA,660,91,6.39,109.86,291.279,293.537,293.537,292.7843333
20230124,Yasha,2994,Target pole dives,52944.4,eats fish,POINT,NA,NA,6.39,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52944.79,NA,NA,660,91,7.05,109.86,330.793,330.793,333.051,331.5456667
20230124,Yasha,2994,Target pole dives,52945.44,NA,NA,650,92,7.7,109.86,308.213,313.858,311.6,311.2236667
20230124,Yasha,2994,Target pole dives,52946.08,NA,NA,640,94,8.34,109.86,316.116,317.245,316.116,316.4923333
20230124,Yasha,2994,Target pole dives,52946.75,NA,NA,670,90,9.01,109.86,328.535,328.535,321.761,326.277
20230124,Yasha,2994,Target pole dives,52947.38,NA,NA,630,95,9.64,109.86,313.858,311.6,317.245,314.2343333
20230124,Yasha,2994,Target pole dives,52947.55,breath,POINT,NA,NA,9.64,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52948.02,NA,NA,640,94,10.28,109.86,282.247,285.634,285.634,284.505
20230124,Yasha,2994,Target pole dives,52948.65,NA,NA,630,95,10.91,109.86,326.277,333.051,331.922,330.4166667
20230124,Yasha,2994,Target pole dives,52949.27,NA,NA,620,97,11.53,109.86,310.471,312.729,314.987,312.729
20230124,Yasha,2994,Target pole dives,52949.88,NA,NA,610,98,12.14,109.86,313.858,318.374,319.503,317.245
20230124,Yasha,2994,Target pole dives,52950.18,NA,NA,NA,NA,12.44,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52950.34,NA,NA,NA,NA,12.6,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52950.52,NA,NA,NA,NA,12.78,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52951.09,NA,NA,NA,NA,13.35,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52951.43,NA,NA,NA,NA,13.69,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52951.62,NA,NA,NA,NA,13.88,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52951.78,NA,NA,NA,NA,14.04,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52952.04,haulout,STOP,NA,NA,14.04,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52952.04,underwater,START,NA,NA,14.04,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52952.38,NA,NA,NA,NA,14.64,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52953.05,NA,NA,NA,NA,15.31,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52953.34,stationary underwater,START,NA,NA,15.31,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52953.8,NA,NA,NA,NA,16.06,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52954.61,NA,NA,NA,NA,16.87,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52955.46,NA,NA,850,70.58823529,17.72,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52956.31,NA,NA,850,71,18.57,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52958.08,NA,NA,885,67.79661017,19.455,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52958.08,NA,NA,885,67.79661017,20.34,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52958.97,NA,NA,890,67,21.23,109.86,300.31,300.31,299.181,299.9336667
20230124,Yasha,2994,Target pole dives,52959.91,NA,NA,940,63.82978723,22.17,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52960.92,NA,NA,1010,59,23.18,109.86,290.15,291.279,292.408,291.279
20230124,Yasha,2994,Target pole dives,52961.98,NA,NA,1060,57,24.24,109.86,285.634,285.351,286.198,285.7276667
20230124,Yasha,2994,Target pole dives,52962.74,NA,NA,760,79,25,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52964.2,NA,NA,1460,41,26.46,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52965.21,NA,NA,1010,59,27.47,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52966.29,NA,NA,1080,55.55555556,28.55,109.86,254.022,260.796,264.183,259.667
20230124,Yasha,2994,Target pole dives,52967.44,NA,NA,1150,52,29.7,109.86,284.505,284.505,287.045,285.3516667
20230124,Yasha,2994,Target pole dives,52968.72,NA,NA,1280,47,30.98,109.86,293.537,294.666,293.537,293.9133333
20230124,Yasha,2994,Target pole dives,52969.96,NA,NA,1240,48.38709677,32.22,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52971.33,NA,NA,1370,44,33.59,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52972.54,NA,NA,1210,50,34.8,109.86,277.731,277.731,281.118,278.86
20230124,Yasha,2994,Target pole dives,52973.75,NA,NA,1210,50,36.01,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52974.88,NA,NA,1130,53,37.14,109.86,281.118,282.811,287.892,283.9403333
20230124,Yasha,2994,Target pole dives,52976.04,NA,NA,1160,52,38.3,109.86,303.697,310.471,307.084,307.084
20230124,Yasha,2994,Target pole dives,52977.34,NA,NA,1300,46,39.6,109.86,300.31,301.439,299.181,300.31
20230124,Yasha,2994,Target pole dives,52978.7,NA,NA,1360,44,40.96,109.86,259.667,260.231,259.667,259.855
20230124,Yasha,2994,Target pole dives,52980.09,NA,NA,1390,43.16546763,42.35,109.86,281.118,289.585,277.731,282.8113333
20230124,Yasha,2994,Target pole dives,52981.36,NA,NA,1270,47,43.62,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52982.68,NA,NA,1320,45.45454545,44.94,109.86,277.731,272.65,274.344,274.9083333
20230124,Yasha,2994,Target pole dives,52983.95,NA,NA,1270,47,46.21,109.86,285.634,284.505,287.892,286.0103333
20230124,Yasha,2994,Target pole dives,52984.6,NA,NA,650,92,46.86,109.86,329.382,320.914,327.688,325.9946667
20230124,Yasha,2994,Target pole dives,52985.3,NA,NA,700,86,47.56,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52986.21,NA,NA,910,66,48.47,109.86,320.068,321.761,318.374,320.0676667
20230124,Yasha,2994,Target pole dives,52987.72,NA,NA,1510,40,49.98,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52989.17,NA,NA,1450,41,51.43,109.86,295.23,296.924,292.408,294.854
20230124,Yasha,2994,Target pole dives,52990.76,NA,NA,1590,38,53.02,109.86,294.666,291.279,288.738,291.561
20230124,Yasha,2994,Target pole dives,52992.09,NA,NA,1330,45,54.35,109.86,281.118,285.351,281.964,282.811
20230124,Yasha,2994,Target pole dives,52992.28,NA,NA,NA,NA,54.54,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52992.74,NA,NA,NA,NA,55,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52992.93,NA,NA,NA,NA,55.19,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52993.1,NA,NA,NA,NA,55.36,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52993.73,NA,NA,NA,NA,55.99,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52995.86,NA,NA,2130,28,58.12,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52997.07,NA,NA,1210,50,59.33,109.86,283.376,281.118,286.763,283.7523333
20230124,Yasha,2994,Target pole dives,52998.24,NA,NA,1170,51.28205128,60.5,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,52999.1,NA,NA,860,70,61.36,109.86,311.6,312.729,308.213,310.8473333
20230124,Yasha,2994,Target pole dives,53000.51,NA,NA,1410,43,62.77,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,53001.85,NA,NA,1340,45,64.11,109.86,284.505,289.585,286.198,286.7626667
20230124,Yasha,2994,Target pole dives,53004.01,NA,NA,2160,28,66.27,109.86,NA,NA,NA,NA
20230124,Yasha,2994,Target pole dives,53005.47,NA,NA,1460,41,67.73,109.86,286.198,282.811,282.811,283.94
20230124,Yasha,2994,Target pole dives,53007.04,NA,NA,1570,38,69.3,109.86,289.021,286.763,292.408,289.3973333
20230124,Yasha,2994,Target pole dives,53008.97,NA,NA,1930,31,71.23,109.86,316.116,314.987,321.761,317.6213333
20230124,Yasha,2994,Target pole dives,53010.26,NA,NA,1290,47,72.52,109.86,285.634,286.763,286.763,286.3866667
20230124,Yasha,2994,Target pole dives,53011.52,NA,NA,1260,48,73.78,109.86,272.086,277.731,276.602,275.473
