Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20230110,Yasha,2983,Target pole dives,40485.86,NA,NA,760,79,0,102.81,302.803,306.193,303.933,304.3096667
20230110,Yasha,2983,Target pole dives,40486.57,NA,NA,710,85,0.71,102.81,300.826,303.368,302.521,302.2383333
20230110,Yasha,2983,Target pole dives,40487.23,NA,NA,660,91,1.37,102.81,316.927,315.232,311.842,314.667
20230110,Yasha,2983,Target pole dives,40487.24,breath,POINT,NA,NA,1.37,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40487.86,NA,NA,630,95,2,102.81,310.713,305.063,306.193,307.323
20230110,Yasha,2983,Target pole dives,40488.47,NA,NA,610,98,2.61,102.81,294.894,300.544,296.024,297.154
20230110,Yasha,2983,Target pole dives,40489.04,NA,NA,570,105,3.18,102.81,306.758,302.521,305.911,305.0633333
20230110,Yasha,2983,Target pole dives,40489.65,NA,NA,610,98,3.79,102.81,311.842,310.713,309.583,310.7126667
20230110,Yasha,2983,Target pole dives,40489.75,eats fish,POINT,NA,NA,3.79,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40490.23,NA,NA,580,103,4.37,102.81,318.622,314.102,316.362,316.362
20230110,Yasha,2983,Target pole dives,40490.8,NA,NA,570,105,4.94,102.81,304.216,301.674,305.063,303.651
20230110,Yasha,2983,Target pole dives,40491.39,NA,NA,590,102,5.53,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40491.67,breath,POINT,NA,NA,5.53,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40491.97,NA,NA,580,103,6.11,102.81,301.674,302.803,301.674,302.0503333
20230110,Yasha,2983,Target pole dives,40492.53,NA,NA,560,107,6.67,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40493.12,NA,NA,590,102,7.26,102.81,282.466,288.115,289.245,286.6086667
20230110,Yasha,2983,Target pole dives,40493.24,follows signal (command) from a trainer,POINT,NA,NA,7.26,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40493.67,NA,NA,550,109,7.81,102.81,307.605,312.69,311.842,310.7123333
20230110,Yasha,2983,Target pole dives,40494.26,NA,NA,590,102,8.4,102.81,312.69,313.537,315.232,313.8196667
20230110,Yasha,2983,Target pole dives,40494.61,vocalization,POINT,NA,NA,8.4,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40494.83,NA,NA,570,105,8.97,102.81,287.268,289.81,288.963,288.6803333
20230110,Yasha,2983,Target pole dives,40495.4,NA,NA,570,105,9.54,102.81,293.765,296.024,294.894,294.8943333
20230110,Yasha,2983,Target pole dives,40495.74,eats fish,POINT,NA,NA,9.54,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40496,NA,NA,600,100,10.14,102.81,300.544,298.284,300.544,299.7906667
20230110,Yasha,2983,Target pole dives,40496.63,NA,NA,630,95,10.77,102.81,298.284,297.154,297.154,297.5306667
20230110,Yasha,2983,Target pole dives,40497.26,NA,NA,630,95.23809524,11.4,102.81,310.713,305.063,308.453,308.0763333
20230110,Yasha,2983,Target pole dives,40497.88,NA,NA,620,97,12.02,102.81,NA,NA,NA,NA
20230110,Yasha,2983,Target pole dives,40498.49,NA,NA,610,98,12.63,102.81,295.742,295.742,296.589,296.0243333
20230110,Yasha,2983,Target pole dives,40498.6,breath,POINT,NA,NA,12.63,102.81,NA,NA,NA,NA
