RR.ms,1,2,3,QT,,,,,RR.ms,1,2,3,QT
1330,281.276,279.017,280.147,280.1466667,,,,,1330,281.276,279.017,280.147,280.1467
1340,286.36,286.36,284.665,285.795,,,,,1340,286.36,286.36,284.665,285.795
1270,307.258,304.999,309.517,307.258,,,,,1270,307.258,304.999,309.517,307.258
1300,316.295,315.165,314.036,315.1653333,,,,,1300,316.295,315.165,314.036,315.1653
1240,273.369,275.628,269.98,272.9923333,,,,,1240,273.369,275.628,269.98,272.9923
1350,285.795,284.665,285.795,285.4183333,,,,,1350,285.795,284.665,285.795,285.4183
1340,292.29,290.596,290.596,291.1606667,,,,,1340,292.29,290.596,290.596,291.1607
1360,284.665,283.536,281.276,283.159,,,,,1360,284.665,283.536,281.276,283.159
1260,260.943,260.943,260.943,260.943,,,,,1260,260.943,260.943,260.943,260.943
1270,310.647,310.647,308.387,309.8936667,,,,,1270,310.647,310.647,308.387,309.8937
1280,273.369,273.369,273.369,273.369,,,,,1280,273.369,273.369,273.369,273.369
1230,286.925,286.925,285.795,286.5483333,,,,,1230,286.925,286.925,285.795,286.5483
1210,NA,,,#DIV/0!,,,,,1210,NA,,,#DIV/0!
1270,250.777,250.777,250.777,250.777,,,,,1270,250.777,250.777,250.777,250.777
1400,288.054,294.832,286.925,289.937,,,,,1400,288.054,294.832,286.925,289.937
1440,294.832,288.054,291.443,291.443,,,,,1440,294.832,288.054,291.443,291.443
1140,298.221,302.739,299.35,300.1033333,,,,,1140,298.221,302.739,299.35,300.1033
1480,288.054,286.925,289.184,288.0543333,,,,,1480,288.054,286.925,289.184,288.0543
1380,301.61,298.221,299.915,299.9153333,,,,,1380,301.61,298.221,299.915,299.9153
1410,285.795,284.665,286.925,285.795,,,,,1410,285.795,284.665,286.925,285.795
1240,310.082,309.235,308.387,309.2346667,,,,,1240,310.082,309.235,308.387,309.2347
1390,289.749,292.573,288.054,290.1253333,,,,,1390,289.749,292.573,288.054,290.1253
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
700,280.429,280.429,280.429,280.429,,,,,700,280.429,280.429,280.429,280.429
680,294.832,290.313,293.702,292.949,,,,,680,294.832,290.313,293.702,292.949
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
650,313.471,312.906,314.036,313.471,,,,,650,313.471,312.906,314.036,313.471
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
620,342.276,341.147,338.887,,,,,,620,342.276,341.147,338.887,
610,315.165,313.471,315.165,314.6003333,,,,,610,315.165,313.471,315.165,314.6003
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
600,307.258,304.999,309.517,307.258,,,,,600,307.258,304.999,309.517,307.258
600,321.943,317.424,320.813,320.06,,,,,600,321.943,317.424,320.813,320.06
NA,,,,#DIV/0!,,,,,NA,,,,#DIV/0!
600,316.86,314.318,315.165,315.4476667,,,,,600,316.86,314.318,315.165,315.4477
600,NA,,,#DIV/0!,,,,,600,NA,,,#DIV/0!
