Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20220513,Sitka,53,Target pole dives,53214.14,NA,NA,1680,36,0,125.49,300.31,300.31,298.052,299.5573333
20220513,Sitka,53,Target pole dives,53215.79,NA,NA,1650,36,1.65,125.49,291.279,292.408,296.924,293.537
20220513,Sitka,53,Target pole dives,53218.18,NA,NA,2390,25,4.04,125.49,290.15,289.021,287.892,289.021
20220513,Sitka,53,Target pole dives,53218.46,stationary underwater,STOP,NA,NA,4.04,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53218.79,NA,NA,NA,NA,4.65,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53219.62,underwater,STOP,NA,NA,4.65,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53219.62,head above water,START,NA,NA,4.65,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53220.32,breath,POINT,NA,NA,6.18,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53220.62,NA,NA,NA,NA,6.48,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53221.51,NA,NA,890,67,7.37,125.49,303.697,300.31,300.31,301.439
20220513,Sitka,53,Target pole dives,53222.36,NA,NA,850,71,8.22,125.49,307.084,309.342,308.213,308.213
20220513,Sitka,53,Target pole dives,53223.17,NA,NA,810,74,9.03,125.49,301.439,299.181,298.052,299.5573333
20220513,Sitka,53,Target pole dives,53223.94,NA,NA,770,78,9.8,125.49,309.342,305.955,310.471,308.5893333
20220513,Sitka,53,Target pole dives,53224.69,NA,NA,750,80,10.55,125.49,333.051,333.051,338.696,334.9326667
20220513,Sitka,53,Target pole dives,53225.42,NA,NA,730,82,11.28,125.49,316.681,315.834,315.834,316.1163333
20220513,Sitka,53,Target pole dives,53226.14,NA,NA,720,83,12,125.49,321.761,319.503,321.761,321.0083333
20220513,Sitka,53,Target pole dives,53226.21,breath,POINT,NA,NA,12,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53226.84,NA,NA,700,86,12.7,125.49,310.754,308.213,309.06,309.3423333
20220513,Sitka,53,Target pole dives,53227.3,head above water,STOP,NA,NA,12.7,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53227.3,underwater,START,NA,NA,12.7,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53227.54,NA,NA,700,86,13.4,125.49,301.439,302.568,302.568,302.1916667
20220513,Sitka,53,Target pole dives,53228.23,NA,NA,690,87,14.09,125.49,288.738,291.279,290.432,290.1496667
20220513,Sitka,53,Target pole dives,53228.9,stationary underwater,START,NA,NA,14.09,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53228.92,NA,NA,690,87,14.78,125.49,294.666,295.795,295.795,295.4186667
20220513,Sitka,53,Target pole dives,53229.63,NA,NA,710,85,15.49,125.49,293.537,296.924,294.666,295.0423333
20220513,Sitka,53,Target pole dives,53230.4,NA,NA,770,78,16.26,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53231.41,NA,NA,1010,59,17.27,125.49,320.632,312.729,322.89,318.7503333
20220513,Sitka,53,Target pole dives,53232.49,NA,NA,1080,56,18.35,125.49,294.666,291.279,298.052,294.6656667
20220513,Sitka,53,Target pole dives,53233.69,NA,NA,1200,50,19.55,125.49,302.568,304.826,305.955,304.4496667
20220513,Sitka,53,Target pole dives,53235.03,NA,NA,1340,45,20.89,125.49,303.697,300.31,295.795,299.934
20220513,Sitka,53,Target pole dives,53236.48,NA,NA,1450,41,22.34,125.49,308.213,312.729,307.084,309.342
20220513,Sitka,53,Target pole dives,53237.96,NA,NA,1480,41,23.82,125.49,311.6,308.213,309.342,309.7183333
20220513,Sitka,53,Target pole dives,53239.74,NA,NA,1780,34,25.6,125.49,309.342,307.084,304.826,307.084
20220513,Sitka,53,Target pole dives,53242.13,NA,NA,2390,25,27.99,125.49,285.634,284.505,287.892,286.0103333
20220513,Sitka,53,Target pole dives,53243.53,NA,NA,1400,43,29.39,125.49,308.213,307.367,307.367,307.649
20220513,Sitka,53,Target pole dives,53245.97,NA,NA,2440,25,31.83,125.49,289.585,292.125,288.738,290.1493333
20220513,Sitka,53,Target pole dives,53247.43,NA,NA,1460,41,33.29,125.49,309.907,309.907,307.367,309.0603333
20220513,Sitka,53,Target pole dives,53249.94,NA,NA,2510,24,35.8,125.49,292.408,289.021,290.15,290.5263333
20220513,Sitka,53,Target pole dives,53251.46,NA,NA,1520,39,37.32,125.49,309.342,304.826,310.471,308.213
20220513,Sitka,53,Target pole dives,53253.9,NA,NA,2440,25,39.76,125.49,296.359,293.819,294.666,294.948
20220513,Sitka,53,Target pole dives,53255.38,NA,NA,1480,41,41.24,125.49,NA,NA,NA,NA
20220513,Sitka,53,Target pole dives,53258.03,NA,NA,2650,23,43.89,125.49,304.826,304.826,304.826,304.826
