Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20220512,Sitka,52,Target pole dives,53279.19,NA,NA,1010,59,0,124.37,306.758,306.758,306.758,306.758
20220512,Sitka,52,Target pole dives,53280.29,NA,NA,1100,55,1.1,124.37,289.245,293.765,292.635,291.8817
20220512,Sitka,52,Target pole dives,53281.51,NA,NA,1220,49,2.32,124.37,296.024,298.284,298.284,297.5307
20220512,Sitka,52,Target pole dives,53282.81,NA,NA,1300,46,3.62,124.37,307.323,305.063,302.803,305.063
20220512,Sitka,52,Target pole dives,53284.17,NA,NA,1360,44,4.98,124.37,310.995,310.995,310.148,310.7127
20220512,Sitka,52,Target pole dives,53285.88,NA,NA,1710,35,6.69,124.37,306.193,308.453,307.323,307.323
20220512,Sitka,52,Target pole dives,53287.2,NA,NA,1320,45,8.01,124.37,318.622,316.079,317.774,317.4917
20220512,Sitka,52,Target pole dives,53288.01,NA,NA,810,74,8.82,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53288.77,stationary underwater,STOP,NA,NA,8.82,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53289.14,NA,NA,1130,53,9.95,124.37,294.894,293.765,292.635,293.7647
20220512,Sitka,52,Target pole dives,53289.16,underwater,STOP,NA,NA,9.95,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53289.16,head above water,START,NA,NA,9.95,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53289.77,breath,POINT,NA,NA,9.95,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53290.12,NA,NA,980,61,10.93,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53290.82,NA,NA,700,86,11.63,124.37,331.05,328.79,331.05,330.2967
20220512,Sitka,52,Target pole dives,53291.71,NA,NA,890,67,12.52,124.37,311.842,314.102,310.713,312.219
20220512,Sitka,52,Target pole dives,53291.89,head above water,STOP,NA,NA,12.52,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53291.89,underwater,START,NA,NA,12.52,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53292.47,NA,NA,760,79,13.28,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53293.22,NA,NA,750,80,14.03,124.37,293.765,294.894,299.414,296.0243
20220512,Sitka,52,Target pole dives,53293.36,stationary underwater,START,NA,NA,14.03,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53293.97,NA,NA,750,80,14.78,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53294.76,NA,NA,790,76,15.57,124.37,305.063,306.193,300.544,303.9333
20220512,Sitka,52,Target pole dives,53295.68,NA,NA,920,65,16.49,124.37,285.573,291.505,290.657,289.245
20220512,Sitka,52,Target pole dives,53296.77,NA,NA,1090,55,17.58,124.37,316.927,320.316,321.164,319.469
20220512,Sitka,52,Target pole dives,53297.97,NA,NA,1200,50,18.78,124.37,315.232,310.995,312.69,312.9723
20220512,Sitka,52,Target pole dives,53299.43,NA,NA,1460,41,20.24,124.37,302.803,303.368,299.979,302.05
20220512,Sitka,52,Target pole dives,53300.89,NA,NA,1460,41,21.7,124.37,NA,NA,NA,NA
20220512,Sitka,52,Target pole dives,53302.44,NA,NA,1550,39,23.25,124.37,297.154,293.2,294.047,294.8003
20220512,Sitka,52,Target pole dives,53304.4,NA,NA,1960,31,25.21,124.37,284.726,283.878,288.115,285.573
20220512,Sitka,52,Target pole dives,53306.01,NA,NA,1610,37,26.82,124.37,297.154,294.894,299.414,297.154
